5	5	15		
				
12	1			
				
100	0	13	84	91
				
81	94	48	15	61
				
0	95	0	34	94
				
38	26	56	89	62
				
50	13	35	99	47
				
81	0	92	62	25
				
65	86	32	84	61
				
54	0	19	0	25
				
68	0	34	0	12
				
74	11	51	31	74
				
65	0	13	78	49
				
99	54	53	45	75
				
10	2			
				
39	34	69	80	18
				
55	0	85	0	31
				
28	68	72	0	0
				
25	55	62	46	67
				
83	90	0	89	41
				
83	58	28	18	12
				
29	24	77	92	31
				
46	11	47	87	93
				
24	36	0	0	47
				
0	41	93	0	0
				
10	1			
				
23	72	28	0	79
				
53	49	28	70	40
				
96	74	0	65	72
				
63	17	44	50	35
				
72	0	0	26	70
				
94	76	31	72	61
				
0	55	56	52	12
				
0	86	10	26	21
				
75	62	58	0	0
				
67	60	32	55	0
				
10	2			
				
35	46	48	12	10
				
44	39	84	33	0
				
0	12	37	46	54
				
0	81	0	28	63
				
38	52	0	0	0
				
51	100	59	63	56
				
34	0	88	29	53
				
63	48	62	46	0
				
24	37	38	33	41
				
85	0	94	17	20
				
15	1			
				
77	47	56	39	53
				
84	0	84	86	48
				
10	0	68	94	27
				
22	51	31	23	91
				
16	0	32	84	50
				
30	99	72	0	76
				
0	83	61	0	81
				
11	85	93	94	39
				
77	0	0	21	37
				
33	34	47	0	22
				
10	53	71	0	66
				
54	58	17	53	88
				
83	55	61	83	67
				
86	23	43	99	21
				
0	17	23	56	93
