8	7	3				
3	1					
247	223	100	0	0	0	0
0	130	0	140	0	0	123
0	0	0	150	160	0	200
						
3	1					
214	0	150	0	0	0	0
0	66	87	0	0	0	0
0	0	0	0	178	95	150
						
3	2					
87	62	0	0	0	0	0
0	0	180	105	0	0	145
0	0	0	190	100	153	0
						
3	1					
87	65	0	0	0	0	0
0	0	250	0	173	0	0
0	0	0	145	0	136	0
						
3	1					
128	123	145	0	0	0	0
0	0	0	65	47	0	86
0	100	0	0	110	85	0
						
3	2					
0	145	320	154	0	0	0
0	0	123	150	192	0	0
0	0	0	0	120	240	180
						
3	1					
0	157	145	0	0	0	0
0	0	124	0	168	0	0
0	0	0	0	145	165	178
						
3	1					
0	0	257	245	0	0	0
0	0	0	0	268	224	0
0	0	0	0	145	165	178
