5	5	10		
				
7	1			
				
0	0	0	0	68
				
0	32	0	0	0
				
74	0	0	0	0
				
0	0	86	0	15
				
0	0	10	0	0
				
73	0	0	0	0
				
0	0	62	0	0
				
10	2			
				
0	0	89	0	0
				
0	0	0	0	72
				
24	0	0	0	0
				
16	0	0	0	74
				
19	0	0	0	0
				
0	83	0	83	0
				
0	0	0	87	0
				
0	0	0	17	0
				
0	0	59	0	0
				
0	0	0	33	0
				
3	3			
				
0	0	29	0	0
				
0	33	0	0	0
				
0	0	0	0	62
				
5	4			
				
0	54	0	0	0
				
18	12	0	0	39
				
0	0	0	52	0
				
32	0	0	0	0
				
90	96	0	0	0
				
10	1			
				
0	73	0	0	68
				
50	0	0	0	0
				
0	0	0	25	0
				
0	0	16	0	0
				
0	0	92	0	50
				
0	0	0	0	36
				
0	0	0	82	0
				
0	0	0	31	0
				
0	70	0	0	0
				
0	92	0	0	0
