5	5	10		
				
10	1			
				
12	0	0	0	0
				
0	0	0	40	0
				
0	86	0	0	0
				
0	0	0	86	0
				
0	0	0	0	15
				
0	0	0	0	75
				
0	0	0	73	0
				
0	0	62	0	80
				
0	0	54	0	0
				
0	37	0	28	0
				
5	1			
				
0	0	0	0	62
				
0	0	0	0	60
				
0	0	0	64	10
				
0	0	0	12	0
				
0	0	62	0	72
				
8	1			
				
0	0	0	100	0
				
46	0	0	0	0
				
0	0	28	0	0
				
74	0	0	0	0
				
45	0	0	0	0
				
0	0	0	100	0
				
0	45	0	0	0
				
0	0	0	16	0
				
9	1			
				
0	87	0	0	0
				
0	0	0	0	20
				
0	0	0	0	75
				
0	0	0	0	45
				
0	0	0	0	85
				
0	0	0	69	0
				
37	0	0	0	0
				
0	0	23	0	0
				
0	0	0	70	0
				
7	1			
				
37	0	0	0	0
				
47	0	41	0	59
				
0	0	0	0	84
				
84	0	0	0	0
				
0	0	0	29	0
				
0	0	0	22	0
				
0	85	0	0	0
