10	5	10		
				
9	1			
				
0	71	66	22	0
				
56	97	14	19	15
				
42	99	79	26	0
				
68	21	35	0	78
				
57	77	0	16	30
				
15	0	16	0	71
				
76	38	0	64	99
				
62	42	65	68	43
				
57	50	70	73	91
				
10	1			
				
67	0	54	48	0
				
63	71	50	84	84
				
97	27	71	10	71
				
92	60	63	17	100
				
0	78	93	0	53
				
50	44	54	37	0
				
42	19	0	52	100
				
28	54	46	52	17
				
74	18	90	0	74
				
0	10	0	27	0
				
9	1			
				
0	34	45	54	36
				
32	0	69	62	0
				
62	24	13	0	24
				
31	32	0	49	0
				
73	37	24	34	86
				
17	17	62	86	0
				
77	22	92	46	39
				
0	93	37	35	70
				
0	0	69	26	48
				
8	1			
				
62	87	0	66	59
				
55	53	0	69	42
				
92	0	53	76	0
				
76	47	28	58	15
				
74	12	42	47	66
				
0	45	0	26	0
				
23	15	49	0	39
				
74	34	94	76	24
				
8	1			
				
77	85	49	63	94
				
75	47	73	0	0
				
22	65	20	100	50
				
61	79	66	0	62
				
45	0	12	15	95
				
0	18	97	46	0
				
23	19	12	78	19
				
95	76	61	0	85
				
5	1			
				
44	34	95	0	81
				
84	97	93	38	0
				
44	87	79	0	0
				
72	86	56	18	0
				
63	91	36	34	13
				
10	1			
				
38	13	40	64	13
				
59	73	39	67	89
				
65	27	51	85	75
				
50	98	75	47	56
				
70	18	0	96	0
				
87	28	90	15	94
				
0	45	0	36	90
				
75	32	25	45	38
				
67	52	49	56	18
				
0	83	23	49	86
				
10	1			
				
89	84	55	70	20
				
19	48	81	86	32
				
41	54	51	34	40
				
86	83	0	91	0
				
34	100	0	44	0
				
0	19	86	0	0
				
13	27	87	70	19
				
93	77	85	12	0
				
43	0	71	97	48
				
39	66	29	55	81
				
8	1			
				
0	79	87	68	0
				
0	92	57	54	77
				
0	66	35	13	84
				
0	25	91	67	0
				
0	21	76	85	59
				
65	41	0	23	87
				
58	0	76	43	36
				
98	70	49	0	0
				
8	1			
				
70	78	49	65	94
				
64	32	76	17	43
				
68	18	12	93	57
				
76	0	53	68	0
				
53	13	47	0	46
				
61	80	0	25	29
				
96	10	10	33	67
				
68	82	42	29	62
