5	5	10		
				
7	1			
				
78	13	41	50	0
				
69	25	33	81	100
				
22	57	70	0	0
				
46	57	82	52	34
				
63	55	19	37	70
				
0	0	24	0	56
				
0	31	16	53	87
				
10	1			
				
0	77	15	0	0
				
51	83	14	34	11
				
72	74	0	75	0
				
85	87	33	72	0
				
27	10	0	0	86
				
89	16	22	47	54
				
51	20	46	0	94
				
0	0	41	92	0
				
35	61	46	52	36
				
48	43	51	99	70
				
10	1			
				
91	0	70	22	69
				
72	70	75	44	99
				
30	35	0	55	0
				
59	54	22	12	83
				
63	12	51	0	60
				
29	60	90	30	46
				
22	0	95	0	43
				
99	92	0	59	69
				
43	25	0	26	97
				
13	84	99	20	23
				
4	1			
				
70	41	87	0	0
				
37	43	62	69	74
				
82	16	0	41	47
				
85	0	90	0	0
				
10	1			
				
61	42	0	86	0
				
41	0	0	83	12
				
0	59	84	21	91
				
0	0	73	43	27
				
18	88	87	96	64
				
89	97	48	53	0
				
52	18	34	58	45
				
37	0	52	0	0
				
37	16	57	41	20
				
21	39	38	0	56
