10	10	15							
									
10	1								
									
34	47	52	0	81	84	0	84	74	10
									
86	34	65	0	0	42	0	37	0	13
									
46	0	0	31	61	76	33	25	67	13
									
47	21	87	0	95	0	69	0	70	23
									
73	65	0	34	45	82	86	81	30	88
									
60	60	87	0	0	18	72	89	15	10
									
0	22	97	96	0	25	61	0	95	73
									
45	0	68	30	95	90	0	57	26	85
									
0	34	67	39	72	43	30	93	18	93
									
10	60	58	0	27	18	0	0	69	98
									
12	2								
									
83	10	62	81	10	35	49	11	55	0
									
39	0	16	31	38	0	66	46	71	0
									
0	0	14	83	0	91	81	32	67	47
									
72	29	36	43	27	62	0	58	98	35
									
40	76	51	54	26	89	56	17	67	0
									
100	88	53	97	26	60	15	81	65	17
									
88	56	33	70	68	24	60	57	96	75
									
78	18	48	33	70	23	29	16	17	21
									
28	19	15	93	31	66	53	46	90	35
									
63	0	21	59	88	83	0	85	65	71
									
0	55	33	74	75	37	66	40	11	27
									
73	63	50	91	67	37	75	76	71	75
									
13	3								
									
61	39	19	57	78	89	12	20	17	77
									
0	93	0	94	0	49	64	26	34	15
									
72	52	68	55	21	75	58	99	51	54
									
22	91	0	84	44	28	21	31	0	40
									
16	50	66	0	57	57	20	30	0	25
									
0	14	10	0	79	74	10	0	59	0
									
15	47	41	23	90	43	74	41	59	22
									
0	92	24	58	13	53	48	35	48	46
									
0	34	53	51	83	94	0	82	86	0
									
78	0	54	0	45	10	0	84	90	49
									
38	89	92	52	92	21	83	68	0	79
									
57	0	23	0	41	82	0	75	31	44
									
0	41	47	13	44	0	58	0	92	0
									
15	1								
									
26	0	79	84	80	13	57	63	64	29
									
38	43	61	63	23	52	95	0	67	60
									
0	19	73	22	66	57	0	0	34	91
									
70	35	51	29	91	78	75	0	19	89
									
78	68	79	0	0	47	29	73	34	0
									
0	72	52	76	47	97	87	47	28	90
									
64	51	41	96	35	0	86	40	79	76
									
22	82	32	36	75	12	83	70	18	69
									
68	54	0	52	62	45	88	72	89	17
									
30	55	68	77	20	17	10	75	22	0
									
17	90	58	77	82	48	44	100	63	0
									
23	91	83	77	63	86	85	53	50	17
									
21	32	0	0	61	45	40	0	55	39
									
0	0	81	91	90	0	29	15	0	84
									
28	79	0	76	94	60	40	0	0	0
									
11	2								
									
61	28	38	52	70	49	93	0	89	63
									
0	32	49	77	15	14	0	0	32	84
									
64	40	75	30	26	99	20	27	45	35
									
91	43	20	78	25	78	90	80	0	84
									
40	30	82	31	55	91	40	0	59	17
									
0	57	20	0	67	25	0	78	0	58
									
20	99	72	62	31	0	80	18	28	95
									
83	53	64	18	23	98	40	13	79	0
									
0	20	75	14	20	56	0	13	55	40
									
72	37	76	0	33	53	93	14	77	30
									
33	0	35	80	0	88	60	36	70	76
									
10	3								
									
56	68	18	28	29	92	0	54	85	94
									
95	10	21	0	49	53	31	59	0	41
									
77	61	0	88	0	0	0	100	63	0
									
0	13	0	0	99	81	86	47	64	34
									
0	0	78	0	99	79	32	0	17	14
									
0	20	88	68	0	27	85	60	0	54
									
29	75	0	35	39	48	40	0	56	28
									
94	59	75	0	83	49	0	0	57	81
									
83	83	95	26	98	86	95	0	0	58
									
18	61	35	0	0	31	91	21	32	79
									
15	1								
									
38	10	57	0	84	80	45	0	0	36
									
13	15	39	62	33	25	66	32	22	81
									
90	79	56	0	17	0	0	50	97	51
									
63	15	82	0	0	28	51	83	94	91
									
0	0	23	78	18	20	0	0	20	90
									
34	0	37	30	67	52	55	16	97	0
									
19	39	68	0	26	61	33	11	23	50
									
21	22	33	25	0	29	0	93	82	20
									
41	65	73	49	75	87	0	0	44	81
									
56	98	64	64	15	51	35	64	68	53
									
53	38	16	0	20	47	0	20	0	87
									
36	37	0	78	44	0	29	0	0	0
									
42	52	16	46	57	22	50	0	49	56
									
95	63	97	82	61	0	56	99	18	81
									
26	0	0	43	96	0	67	16	36	100
									
11	2								
									
12	20	84	35	40	85	31	17	91	63
									
66	0	79	0	34	60	0	66	22	82
									
60	22	97	92	98	70	65	0	29	60
									
63	70	96	83	0	0	54	17	97	52
									
0	0	93	66	39	27	48	39	55	0
									
69	42	0	48	0	26	100	64	51	13
									
81	50	84	94	79	17	95	24	100	87
									
64	79	56	10	98	75	0	32	46	28
									
0	51	24	33	0	0	0	42	69	66
									
89	63	66	14	61	98	100	11	69	73
									
55	0	66	49	35	28	27	21	40	0
									
11	3								
									
37	56	86	54	0	0	41	31	16	48
									
60	16	49	0	70	13	100	73	84	39
									
31	27	39	71	0	25	46	0	69	63
									
0	28	25	53	33	38	25	47	37	46
									
85	0	74	86	0	60	83	11	0	0
									
53	0	0	34	84	50	0	47	57	0
									
55	70	82	0	0	97	73	0	49	72
									
41	0	74	0	95	66	37	80	0	50
									
31	83	19	0	26	86	11	14	42	0
									
31	54	88	45	55	0	87	0	62	84
									
0	25	70	0	54	0	0	0	99	0
									
13	1								
									
40	10	24	44	15	21	89	89	80	18
									
43	24	55	48	0	98	19	0	100	0
									
13	52	63	27	0	84	46	15	54	40
									
44	28	40	0	27	11	0	78	14	70
									
0	63	86	85	98	0	0	11	100	49
									
60	37	0	55	94	45	44	54	20	65
									
58	0	18	80	13	0	36	31	85	65
									
24	78	51	0	30	20	97	0	0	29
									
73	0	62	24	71	0	0	0	17	21
									
12	23	21	40	24	48	0	37	34	80
									
53	95	66	61	75	55	62	23	73	25
									
11	71	70	72	0	30	43	0	96	99
									
41	13	0	100	0	0	95	100	42	15
