5	5	9		
				
4	1			
				
0	55	26	34	53
				
0	84	28	16	65
				
57	11	0	51	86
				
0	88	39	0	26
				
1	2			
				
19	78	25	84	90
				
5	2			
				
20	100	11	14	43
				
66	43	93	0	37
				
52	83	0	78	99
				
0	39	75	55	0
				
38	23	32	0	99
				
5	3			
				
52	0	38	11	0
				
0	0	20	51	13
				
45	79	0	36	89
				
51	24	0	17	20
				
0	80	48	13	0
				
9	2			
				
51	67	0	0	76
				
42	52	29	30	0
				
81	38	0	27	0
				
85	22	55	99	30
				
0	36	0	53	40
				
0	46	67	72	0
				
21	28	53	35	32
				
0	84	0	12	47
				
60	89	96	41	79
